0: RootNode
1: Armature
2: mixamorig:Hips
3: mixamorig:Spine
4: mixamorig:Spine1
5: mixamorig:Spine2
6: mixamorig:Neck
7: mixamorig:Head
8: mixamorig:HeadTop_End
9: mixamorig:HeadTop_End_end
10: mixamorig:LeftEye
11: mixamorig:LeftEye_end
12: mixamorig:RightEye
13: mixamorig:RightEye_end
14: mixamorig:LeftShoulder
15: mixamorig:LeftArm
16: mixamorig:LeftForeArm
17: mixamorig:LeftHand
18: mixamorig:LeftHandThumb1
19: mixamorig:LeftHandThumb2
20: mixamorig:LeftHandThumb3
21: mixamorig:LeftHandThumb4
22: mixamorig:LeftHandThumb4_end
23: mixamorig:LeftHandIndex1
24: mixamorig:LeftHandIndex2
25: mixamorig:LeftHandIndex3
26: mixamorig:LeftHandIndex4
27: mixamorig:LeftHandIndex4_end
28: mixamorig:LeftHandMiddle1
29: mixamorig:LeftHandMiddle2
30: mixamorig:LeftHandMiddle3
31: mixamorig:LeftHandMiddle4
32: mixamorig:LeftHandMiddle4_end
33: mixamorig:LeftHandRing1
34: mixamorig:LeftHandRing2
35: mixamorig:LeftHandRing3
36: mixamorig:LeftHandRing4
37: mixamorig:LeftHandRing4_end
38: mixamorig:LeftHandPinky1
39: mixamorig:LeftHandPinky2
40: mixamorig:LeftHandPinky3
41: mixamorig:LeftHandPinky4
42: mixamorig:LeftHandPinky4_end
43: mixamorig:RightShoulder
44: mixamorig:RightArm
45: mixamorig:RightForeArm
46: mixamorig:RightHand
47: mixamorig:RightHandPinky1
48: mixamorig:RightHandPinky2
49: mixamorig:RightHandPinky3
50: mixamorig:RightHandPinky4
51: mixamorig:RightHandPinky4_end
52: mixamorig:RightHandRing1
53: mixamorig:RightHandRing2
54: mixamorig:RightHandRing3
55: mixamorig:RightHandRing4
56: mixamorig:RightHandRing4_end
57: mixamorig:RightHandMiddle1
58: mixamorig:RightHandMiddle2
59: mixamorig:RightHandMiddle3
60: mixamorig:RightHandMiddle4
61: mixamorig:RightHandMiddle4_end
62: mixamorig:RightHandIndex1
63: mixamorig:RightHandIndex2
64: mixamorig:RightHandIndex3
65: mixamorig:RightHandIndex4
66: mixamorig:RightHandIndex4_end
67: mixamorig:RightHandThumb1
68: mixamorig:RightHandThumb2
69: mixamorig:RightHandThumb3
70: mixamorig:RightHandThumb4
71: mixamorig:RightHandThumb4_end
72: mixamorig:LeftUpLeg
73: mixamorig:LeftLeg
74: mixamorig:LeftFoot
75: mixamorig:LeftToeBase
76: mixamorig:LeftToe_End
77: mixamorig:LeftToe_End_end
78: mixamorig:RightUpLeg
79: mixamorig:RightLeg
80: mixamorig:RightFoot
81: mixamorig:RightToeBase
82: mixamorig:RightToe_End
83: mixamorig:RightToe_End_end
84: Beta_Joints
85: Beta_Surface
